trade_date,pr,tr,dy,dy_pct_expanding,dy_realized
20060904,1182.625,1269.996,0.035138856181006,,0.0357750380043973
20060905,1179.513,1266.654,0.035231429422574616,,0.03577485679141468
20060906,1184.534,1272.045,0.03508193397226965,,0.0357746473335796
20060907,1168.437,1254.759,0.03556541171852353,,0.035774824090716306
20060908,1171.309,1257.843,0.035477238084914424,,0.035773518301208895
20060911,1173.792,1260.509,0.03540219073226179,,0.035773518301208895
20060912,1184.497,1272.005,0.03508235002694058,,0.03577363206244644
20060913,1180.849,1268.088,0.03519112914179921,,0.03577404545660334
20060914,1174.411,1261.663,0.0357714820622834,,0.03617534448844739
20060915,1201.043,1290.273,0.03497708514854994,,0.03617374240483118
20060918,1214.628,1304.867,0.034585884137423036,,0.03617374240483118
20060919,1214.264,1304.477,0.034596997982111584,,0.03617449848202248
20060920,1209.01,1298.832,0.03474651726709585,,0.03617338417185967
20060921,1211.184,1301.168,0.03468371713552643,,0.036172683639563497
20060922,1196.795,1285.709,0.03510071754567444,,0.036172683639563497
20060925,1189.922,1278.326,0.03530394360311827,,0.036173185149568576
20060926,1182.407,1270.253,0.03552857528621656,,0.036173445364152235
20060927,1189.673,1278.058,0.03531101619356841,,0.03617271162401403
20060928,1198.263,1287.287,0.03505851768868721,,0.036173370558847395
20060929,1208.226,1297.99,0.03476902033278731,,0.036172838103584626
20061009,1231.715,1323.224,0.034105969611965666,,0.036172838103584626
20061010,1237.391,1329.322,0.03353408111822046,,0.035599868930440204
20061011,1240.383,1332.537,0.03345338312872313,,0.03559993685815366
20061012,1248.168,1340.901,0.033245042557848783,,0.035600203289329224
20061013,1248.447,1341.2,0.033237613033909326,,0.035600203289329224
20061016,1238.47,1330.482,0.033505347207914773,,0.03560009477836257
20061017,1233.429,1325.067,0.033642123463871174,,0.03559970615484187
20061018,1248.463,1341.218,0.03323703772772579,,0.035599740272787894
20061019,1251.33,1344.298,0.03316088628313053,,0.035599740272787894
20061020,1246.242,1338.832,0.03329628238563776,,0.03559975167394991
20061023,1224.379,1315.345,0.03389107698505511,,0.03560000321553347
20061024,1253.508,1346.638,0.033102835689785386,,0.03559902678964555
20061025,1257.132,1350.532,0.03300796606446786,,0.03559960428737785
20061026,1261.836,1355.585,0.03288491562656052,,0.03559960428737785
20061027,1260.024,1353.638,0.03293153583003661,,0.03559860484271948
20061030,1282.192,1377.454,0.03236291784158462,,0.035599371208585584
20061031,1302.215,1398.965,0.03186556447956616,,0.03559964294541129
20061101,1321.406,1419.581,0.03140227923706336,,0.035598865562369575
20061102,1329.999,1428.812,0.031199392027761633,,0.035598865562369575
20061103,1333.867,1432.968,0.031109354845112996,,0.035599317126675745
20061106,1370.944,1472.8,0.030267741669757677,,0.0355987473701147
20061107,1364.273,1465.633,0.0304157443823225,,0.0355987473701147
20061108,1340.113,1439.678,0.030963948294037365,,0.0355985145478841
20061109,1360.596,1461.683,0.030497298143845632,,0.03559757297565502
20061110,1335.431,1434.648,0.031071992386970042,,0.03559757297565502
20061113,1302.687,1399.471,0.03185179850747301,,0.03559562351052259
20061114,1304.106,1400.995,0.03181714051028405,,0.03559562351052259
20061115,1349.145,1449.38,0.030754701687987246,,0.035595165116401706
20061116,1340.694,1440.301,0.03094856246752768,,0.035595165116401706
20061117,1378.995,1481.448,0.03008926498361141,,0.03559546096969224
20061120,1408.716,1513.378,0.029454937841441427,,0.03559591909196058
20061121,1425.161,1531.044,0.029114719189762463,,0.035595330573454875
20061122,1426.548,1532.534,0.029086411614050886,,0.035595330573454875
20061123,1440.098,1547.091,0.028812883653275032,,0.03559545093299832
20061124,1443.365,1550.6,0.028747108074721018,,0.03559443601498469
20061127,1461.648,1570.242,0.028387946946663016,,0.035594872622753515
20061128,1455.439,1563.571,0.028509051824704507,,0.035594872622753515
20061129,1472.412,1581.805,0.0281804181701155,,0.035594872622753515
20061130,1524.846,1638.135,0.027211517277609034,,0.03559489381166414
20061201,1533.013,1646.908,0.02706609682704268,,0.035594046429149095
20061204,1574.256,1691.216,0.0263574208766211,,0.035594387776837655
20061205,1585.13,1702.898,0.02617667441355021,,0.03559445569162678
20061206,1563.425,1679.581,0.026540157879055486,,0.03559429035051753
20061207,1570.254,1686.917,0.02642465345800238,,0.03559413307976156
20061208,1508.222,1620.275,0.027511050659399065,,0.035593341272387224
20061211,1573.869,1690.8,0.02636400489033479,,0.035593813819354336
20061212,1586.934,1704.837,0.02614773540962753,,0.035594623229156186
20061213,1603.872,1723.033,0.025871250897457797,,0.03559393477946071
20061214,1627.307,1748.209,0.025498676598458333,,0.03559393477946071
20061215,1644.067,1766.214,0.025238737180058618,,0.03559393477946071
20061218,1667.323,1791.198,0.02488635619470489,,0.035593107200330376
20061219,1678.488,1803.192,0.0247205399423454,,0.035592534178980006
20061220,1685.172,1810.372,0.024622489364140545,,0.035592534178980006
20061221,1648.959,1771.469,0.025163129634180815,,0.03559209268628538
20061222,1637.68,1759.352,0.025336432684315107,,0.03559209268628538
20061225,1668.705,1792.682,0.024865220678275297,,0.035591787767425886
20061226,1688.033,1813.446,0.02458052445522063,,0.035591799034651705
20061227,1718.087,1845.732,0.02415013026305037,,0.03559094114056949
20061228,1715.757,1843.229,0.024182984206853865,,0.0355910012450662
20061229,1763.694,1894.728,0.023525523300597425,,0.03559035066746019
20070104,1815.702,1950.599,0.022851438375772415,,0.03558985025139538
20070105,1871.982,2011.06,0.022164423782796375,,0.03558985025139538
20070108,1927.414,2070.61,0.021526857023015256,,0.03558956918076306
20070109,1998.773,2147.272,0.02075869263707744,,0.03558957384620709
20070110,2047.992,2200.147,0.020259802947613655,,0.03558957384620709
20070111,2012.326,2161.831,0.020618883003195896,,0.03558957384620709
20070112,1929.255,2072.588,0.021506703032149292,,0.03558957384620709
20070115,2029.725,2180.523,0.020442426432482983,,0.03558987468358543
20070116,2062.202,2215.412,0.02012017003425755,,0.035589119812362346
20070117,2064.538,2217.922,0.02009716491347653,,0.03558828085335741
20070118,2055.725,2208.454,0.020183322504780072,,0.03558828085335741
20070119,2122.334,2280.013,0.01954997479605627,,0.0355877515513523
20070122,2217.927,2382.708,0.01870736782987595,,0.0355877515513523
20070123,2250.648,2417.859,0.018435391144600702,,0.0355877515513523
20070124,2276.44,2445.568,0.01822684319457806,,0.03558808760334076
20070125,2176.367,2338.061,0.019065238057890562,,0.035588257149675284
20070126,2212.56,2376.942,0.01875336501068524,,0.03558824641057612
20070129,2286.361,2456.227,0.018148363499459017,,0.03558850659930912
20070130,2285.353,2455.144,0.01815636819300415,,0.03558850659930912
20070131,2136.562,2295.298,0.01942070626625865,,0.03558832191656025
20070201,2122.234,2279.905,0.019551615702745648,,0.035587843932475716
20070202,2039.908,2191.463,0.02034067392785931,,0.03558763193270864
20070205,2020.813,2170.95,0.020533181916981127,,0.03558794836622403
20070206,2046.094,2198.109,0.020279479314831275,,0.03558794836622403
20070207,2101.023,2257.119,0.019749301372436388,,0.03558794439017787
20070208,2160.549,2321.068,0.019204756908746668,,0.03558671338781494
20070209,2155.528,2315.674,0.019249507909303687,,0.03558673017908642
20070212,2225.775,2391.14,0.018641980112421765,,0.03558673017908642
20070213,2258.483,2426.277,0.01837200159785376,,0.03558673017908642
20070214,2320.008,2492.373,0.017780066153001532,,0.03533143133813743
20070215,2398.415,2576.606,0.01719910668983833,,0.03533173340404239
20070216,2424.031,2604.126,0.01701740047258047,,0.0353313576563099
20070226,2519.99,2707.213,0.016369340891300724,,0.035331220811416486
20070227,2282.767,2452.366,0.018070637433032017,,0.03533143826151952
20070228,2385.034,2562.231,0.017295807328986598,,0.035331452906146366
20070301,2305.376,2476.654,0.01789291562468271,,0.03533018217198247
20070302,2326.791,2499.66,0.017728235260996164,,0.03533018217198247
20070305,2291.593,2461.847,0.018000549004370283,,0.035330197462261737
20070306,2306.492,2477.853,0.017884304323127317,,0.03533023011905789
20070307,2371.768,2547.979,0.017391978274862812,,0.035329778451938854
20070308,2404.301,2582.929,0.017156644500424374,,0.035329778451938854
20070309,2392.891,2570.672,0.01723856825253214,,0.035329667496782236
20070312,2409.31,2588.651,0.017252428279866783,,0.03546553317190693
20070313,2441.489,2623.225,0.017024963785216552,,0.03546533846994171
20070314,2383.617,2561.046,0.017438527962088706,,0.035465422939683355
20070315,2432.695,2613.777,0.0170867172849083,,0.035465422939683355
20070316,2376.004,2552.865,0.017494326125768934,,0.035465228629061984
20070319,2409.513,2588.869,0.01725128471869386,,0.03546545177597715
20070320,2435.438,2616.724,0.017067699154575736,,0.03546545040641669
20070321,2461.002,2644.191,0.01689002779073057,,0.035464395797077275
