code,grade,first,entry_date,last_date,entry_raw,last_raw,ret_raw,ret_qfq,adj_ratio,affected
300251.SZ,C,20260716,20260717,20260724,12.52,11.12,-0.11182108626198084,-0.11182108626198095,1.0,False
601595.SH,C,20260716,20260717,20260724,17.34,15.87,-0.08477508650519039,-0.08477508650519039,1.0,False
600095.SH,C,20260717,20260720,20260724,9.12,8.53,-0.0646929824561403,-0.0646929824561403,1.0,False
300285.SZ,C,20260721,20260722,20260724,60.23,57.21,-0.05014112568487461,-0.0501411256848745,1.0,False
603663.SH,C,20260721,20260722,20260724,42.06,38.7,-0.07988587731811692,-0.07988587731811692,1.0,False
300014.SZ,B,20260722,20260723,20260724,55.31,53.96,-0.02440788284216233,-0.02440788284216233,1.0,False
600884.SH,B,20260722,20260723,20260724,12.75,12.31,-0.03450980392156855,-0.03450980392156855,1.0,False
601899.SH,B,20260722,20260723,20260724,33.06,31.51,-0.046884452510586816,-0.04688445251058693,1.0,False
688598.SH,B,20260722,20260723,20260724,27.84,26.67,-0.042025862068965414,-0.042025862068965414,1.0,False
002353.SZ,B,20260723,20260724,20260724,137.29,137.29,0.0,0.0,1.0,False
