trade_date,score
20210423,27.2
20210426,27.4
20210427,36.7
20210428,33.7
20210429,33.8
20210430,40.0
20210506,31.5
20210507,34.8
20210510,31.3
20210511,27.8
20210512,23.5
20210513,25.8
20210514,21.3
20210517,35.2
20210518,23.3
20210519,24.3
20210520,23.6
20210521,24.3
20210524,21.7
20210525,19.2
20210526,15.9
20210527,12.7
20210528,16.6
20210531,13.9
20210601,11.9
20210602,19.5
20210603,17.4
20210604,19.1
20210607,16.2
20210608,23.3
20210609,17.9
20210610,16.8
20210611,20.1
20210615,29.5
20210616,38.5
20210617,28.4
20210618,26.1
20210621,23.0
20210622,20.5
20210623,18.9
20210624,21.5
20210625,19.3
20210628,18.6
20210629,24.4
20210630,21.1
20210701,30.8
20210702,32.0
20210705,26.7
20210706,29.7
20210707,23.5
20210708,27.9
20210709,24.9
20210712,19.9
20210713,18.4
20210714,25.9
20210715,32.7
20210716,28.6
20210719,31.8
20210720,28.2
20210721,22.5
20210722,21.0
20210723,31.4
20210726,48.3
20210727,65.5
20210728,69.8
20210729,42.3
20210730,40.1
20210802,34.4
20210803,46.5
20210804,31.9
20210805,34.6
20210806,35.8
20210809,30.1
20210810,25.5
20210811,23.8
20210812,23.2
20210813,24.0
20210816,27.0
20210817,47.1
20210818,31.8
20210819,37.3
20210820,43.1
20210823,25.0
20210824,20.2
20210825,18.7
20210826,26.1
20210827,30.4
20210830,26.0
20210831,28.6
20210901,35.0
20210902,21.8
20210903,23.6
20210906,18.3
20210907,14.8
20210908,13.3
20210909,13.7
20210910,16.7
20210913,15.5
20210914,21.3
20210915,21.1
20210916,37.6
20210917,28.5
20210922,26.6
20210923,24.1
20210924,40.9
20210927,54.6
20210928,33.2
20210929,61.3
20210930,32.6
20211008,30.7
20211011,37.6
20211012,41.6
20211013,38.3
20211014,29.9
20211015,40.1
20211018,31.5
20211019,28.7
20211020,30.1
20211021,32.3
20211022,32.2
20211025,30.2
20211026,36.4
20211027,47.7
20211028,58.4
20211029,30.9
20211101,28.3
20211102,38.0
20211103,29.9
20211104,25.2
20211105,31.7
20211108,24.7
20211109,21.0
20211110,19.7
20211111,14.5
20211112,13.1
20211115,15.8
20211116,18.7
20211117,12.8
20211118,14.5
20211119,13.1
20211122,11.9
20211123,12.2
20211124,12.5
20211125,13.3
20211126,13.6
20211129,15.8
20211130,14.1
20211201,13.0
20211202,17.1
20211203,15.1
20211206,23.6
20211207,24.6
20211208,19.3
20211209,16.3
20211210,15.9
20211213,15.0
20211214,14.6
20211215,15.1
20211216,12.7
20211217,17.1
20211220,23.4
20211221,16.5
20211222,15.7
20211223,21.1
20211224,29.8
20211227,23.2
20211228,19.3
20211229,20.9
20211230,17.0
20211231,14.4
20220104,11.8
20220105,28.5
20220106,16.5
20220107,28.5
20220110,18.1
20220111,20.3
20220112,15.8
20220113,19.7
20220114,24.8
20220117,18.5
20220118,38.3
20220119,23.6
20220120,33.3
20220121,46.8
20220124,43.4
20220125,62.9
20220126,46.8
20220127,69.4
20220128,44.9
20220207,42.7
20220208,38.0
20220209,34.1
20220210,33.8
20220211,41.0
20220214,39.3
20220215,36.8
20220216,31.5
20220217,33.3
20220218,27.5
20220221,21.3
20220222,27.1
20220223,19.3
20220224,45.3
20220225,26.2
20220228,29.4
20220301,21.4
20220302,21.5
20220303,22.9
20220304,34.5
20220307,46.1
20220308,76.4
