code,trade_date,close
510300.SH,20191118,3.971
510300.SH,20191115,3.943
510300.SH,20191114,3.962
510300.SH,20191113,3.959
510300.SH,20191112,3.962
510300.SH,20191111,3.967
510300.SH,20191108,4.034
510300.SH,20191107,4.05
510300.SH,20191106,4.045
510300.SH,20191105,4.062
510300.SH,20191104,4.039
510300.SH,20191101,4.026
510300.SH,20191031,3.945
510300.SH,20191030,3.947
510300.SH,20191029,3.973
510300.SH,20191028,3.986
510300.SH,20191025,3.963
510300.SH,20191024,3.939
510300.SH,20191023,3.934
510300.SH,20191022,3.955
510300.SH,20191021,3.94
510300.SH,20191018,3.931
510300.SH,20191017,3.989
510300.SH,20191016,3.983
510300.SH,20191015,3.997
510300.SH,20191014,4.01
510300.SH,20191011,3.981
510300.SH,20191010,3.933
510300.SH,20191009,3.905
510300.SH,20191008,3.894
510300.SH,20190930,3.869
510300.SH,20190927,3.916
510300.SH,20190926,3.907
510300.SH,20190925,3.934
510300.SH,20190924,3.961
510300.SH,20190923,3.958
510300.SH,20190920,3.993
510300.SH,20190919,3.987
510300.SH,20190918,3.968
510300.SH,20190917,3.951
510300.SH,20190916,4.024
510300.SH,20190912,4.038
510300.SH,20190911,3.997
510300.SH,20190910,4.026
510300.SH,20190909,4.037
510300.SH,20190906,4.021
510300.SH,20190905,3.994
510300.SH,20190904,3.957
510300.SH,20190903,3.908
510300.SH,20190902,3.904
510300.SH,20190830,3.861
510300.SH,20190829,3.851
510300.SH,20190828,3.862
510300.SH,20190827,3.874
510300.SH,20190826,3.834
510300.SH,20190823,3.877
510300.SH,20190822,3.85
510300.SH,20190821,3.842
510300.SH,20190820,3.843
510300.SH,20190819,3.859
510300.SH,20190816,3.769
510300.SH,20190815,3.753
510300.SH,20190814,3.738
510300.SH,20190813,3.724
510300.SH,20190812,3.756
510300.SH,20190809,3.697
510300.SH,20190808,3.726
510300.SH,20190807,3.672
510300.SH,20190806,3.696
510300.SH,20190805,3.735
510300.SH,20190802,3.801
510300.SH,20190801,3.86
510300.SH,20190731,3.896
510300.SH,20190730,3.924
510300.SH,20190729,3.906
510300.SH,20190726,3.912
510300.SH,20190725,3.907
510300.SH,20190724,3.872
510300.SH,20190723,3.841
510300.SH,20190722,3.832
510300.SH,20190719,3.862
510300.SH,20190718,3.822
510300.SH,20190717,3.847
510300.SH,20190716,3.853
510300.SH,20190715,3.869
510300.SH,20190712,3.855
510300.SH,20190711,3.824
510300.SH,20190710,3.823
510300.SH,20190709,3.822
510300.SH,20190708,3.831
510300.SH,20190705,3.921
510300.SH,20190704,3.901
510300.SH,20190703,3.927
510300.SH,20190702,3.96
510300.SH,20190701,3.954
510300.SH,20190628,3.859
510300.SH,20190627,3.86
510300.SH,20190626,3.818
510300.SH,20190625,3.817
510300.SH,20190624,3.856
510300.SH,20190621,3.85
510300.SH,20190620,3.843
510300.SH,20190619,3.735
510300.SH,20190618,3.681
510300.SH,20190617,3.673
510300.SH,20190614,3.67
510300.SH,20190613,3.692
510300.SH,20190612,3.699
510300.SH,20190611,3.727
510300.SH,20190610,3.614
510300.SH,20190606,3.568
510300.SH,20190605,3.599
510300.SH,20190604,3.607
510300.SH,20190603,3.64
510300.SH,20190531,3.632
510300.SH,20190530,3.65
510300.SH,20190529,3.652
510300.SH,20190528,3.65
510300.SH,20190527,3.633
510300.SH,20190524,3.59
510300.SH,20190523,3.584
510300.SH,20190522,3.642
510300.SH,20190521,3.651
510300.SH,20190520,3.606
510300.SH,20190517,3.646
510300.SH,20190516,3.73
510300.SH,20190515,3.712
510300.SH,20190514,3.634
510300.SH,20190513,3.652
510300.SH,20190510,3.72
510300.SH,20190509,3.607
510300.SH,20190508,3.659
510300.SH,20190507,3.707
510300.SH,20190506,3.673
510300.SH,20190430,3.896
510300.SH,20190429,3.894
510300.SH,20190426,3.879
510300.SH,20190425,3.933
510300.SH,20190424,4.016
510300.SH,20190423,4.01
510300.SH,20190422,4.017
510300.SH,20190419,4.12
510300.SH,20190418,4.06
510300.SH,20190417,4.067
510300.SH,20190416,4.077
510300.SH,20190415,3.957
510300.SH,20190412,3.982
510300.SH,20190411,3.996
510300.SH,20190410,4.066
510300.SH,20190409,4.06
510300.SH,20190408,4.036
510300.SH,20190404,4.062
510300.SH,20190403,4.015
510300.SH,20190402,3.962
510300.SH,20190401,3.969
510300.SH,20190329,3.869
510300.SH,20190328,3.717
510300.SH,20190327,3.727
510300.SH,20190326,3.695
510300.SH,20190325,3.734
510300.SH,20190322,3.829
510300.SH,20190321,3.824
510300.SH,20190320,3.822
510300.SH,20190319,3.822
510300.SH,20190318,3.85
510300.SH,20190315,3.735
510300.SH,20190314,3.686
510300.SH,20190313,3.713
510300.SH,20190312,3.735
510300.SH,20190311,3.71
510300.SH,20190308,3.661
510300.SH,20190307,3.793
510300.SH,20190306,3.835
510300.SH,20190305,3.809
510300.SH,20190304,3.777
510300.SH,20190301,3.738
510300.SH,20190228,3.663
510300.SH,20190227,3.67
510300.SH,20190226,3.69
510300.SH,20190225,3.775
510300.SH,20190222,3.526
510300.SH,20190221,3.434
510300.SH,20190220,3.438
510300.SH,20190219,3.429
510300.SH,20190218,3.438
510300.SH,20190215,3.341
510300.SH,20190214,3.397
510300.SH,20190213,3.393
510300.SH,20190212,3.324
510300.SH,20190211,3.3
510300.SH,20190201,3.255
510300.SH,20190131,3.202
510300.SH,20190130,3.172
510300.SH,20190129,3.193
510300.SH,20190128,3.179
510300.SH,20190125,3.183
510300.SH,20190124,3.159
510300.SH,20190123,3.135
510300.SH,20190122,3.143
510300.SH,20190121,3.183
510300.SH,20190118,3.166
510300.SH,20190117,3.112
510300.SH,20190116,3.129
510300.SH,20190115,3.188
510300.SH,20190114,3.129
510300.SH,20190111,3.156
510300.SH,20190110,3.133
510300.SH,20190109,3.13
510300.SH,20190108,3.107
510300.SH,20190107,3.107
510300.SH,20190104,3.094
510300.SH,20190103,3.017
510300.SH,20190102,3.017
510300.SH,20181228,3.059
510300.SH,20181227,3.052
510300.SH,20181226,3.059
510300.SH,20181225,3.076
510300.SH,20181224,3.095
510300.SH,20181221,3.088
510300.SH,20181220,3.127
510300.SH,20181219,3.15
510300.SH,20181218,3.183
510300.SH,20181217,3.223
510300.SH,20181214,3.227
510300.SH,20181213,3.284
510300.SH,20181212,3.229
510300.SH,20181211,3.218
510300.SH,20181210,3.205
510300.SH,20181207,3.235
510300.SH,20181206,3.242
510300.SH,20181205,3.309
510300.SH,20181204,3.324
510300.SH,20181203,3.319
510300.SH,20181130,3.235
510300.SH,20181129,3.202
510300.SH,20181128,3.234
510300.SH,20181127,3.186
510300.SH,20181126,3.189
510300.SH,20181123,3.184
510300.SH,20181122,3.269
510300.SH,20181121,3.278
510300.SH,20181120,3.275
510300.SH,20181119,3.348
510300.SH,20181116,3.311
510300.SH,20181115,3.301
510300.SH,20181114,3.258
510300.SH,20181113,3.298
510300.SH,20181112,3.264
510300.SH,20181109,3.228
510300.SH,20181108,3.269
510300.SH,20181107,3.272
510300.SH,20181106,3.299
510300.SH,20181105,3.32
510300.SH,20181102,3.363
510300.SH,20181101,3.228
510300.SH,20181031,3.205
510300.SH,20181030,3.168
510300.SH,20181029,3.131
510300.SH,20181026,3.228
510300.SH,20181025,3.261
510300.SH,20181024,3.245
510300.SH,20181023,3.24
510300.SH,20181022,3.353
510300.SH,20181019,3.185
510300.SH,20181018,3.106
510300.SH,20181017,3.176
510300.SH,20181016,3.165
510300.SH,20181015,3.186
510300.SH,20181012,3.233
510300.SH,20181011,3.174
510300.SH,20181010,3.346
510300.SH,20181009,3.348
510300.SH,20181008,3.341
510300.SH,20180928,3.508
510300.SH,20180927,3.472
510300.SH,20180926,3.487
510300.SH,20180925,3.449
510300.SH,20180921,3.484
510300.SH,20180920,3.378
510300.SH,20180919,3.38
510300.SH,20180918,3.335
510300.SH,20180917,3.272
510300.SH,20180914,3.303
510300.SH,20180913,3.298
510300.SH,20180912,3.263
510300.SH,20180911,3.286
510300.SH,20180910,3.298
510300.SH,20180907,3.346
510300.SH,20180906,3.324
510300.SH,20180905,3.353
510300.SH,20180904,3.423
510300.SH,20180903,3.383
510300.SH,20180831,3.39
510300.SH,20180830,3.416
510300.SH,20180829,3.45
510300.SH,20180828,3.463
510300.SH,20180827,3.473
510300.SH,20180824,3.388
510300.SH,20180823,3.383
510300.SH,20180822,3.373
510300.SH,20180821,3.379
510300.SH,20180820,3.322
510300.SH,20180817,3.287
510300.SH,20180816,3.338
510300.SH,20180815,3.352
510300.SH,20180814,3.434
510300.SH,20180813,3.449
510300.SH,20180810,3.464
510300.SH,20180809,3.458
510300.SH,20180808,3.377
510300.SH,20180807,3.427
510300.SH,20180806,3.334
510300.SH,20180803,3.369
510300.SH,20180802,3.417
510300.SH,20180801,3.495
510300.SH,20180731,3.575
510300.SH,20180730,3.562
510300.SH,20180727,3.582
510300.SH,20180726,3.591
510300.SH,20180725,3.638
510300.SH,20180724,3.639
510300.SH,20180723,3.573
510300.SH,20180720,3.55
510300.SH,20180719,3.483
510300.SH,20180718,3.481
510300.SH,20180717,3.497
510300.SH,20180716,3.519
510300.SH,20180713,3.534
510300.SH,20180712,3.528
510300.SH,20180711,3.445
510300.SH,20180710,3.503
510300.SH,20180709,3.494
510300.SH,20180706,3.395
510300.SH,20180705,3.366
510300.SH,20180704,3.394
510300.SH,20180703,3.43
510300.SH,20180702,3.443
510300.SH,20180629,3.537
510300.SH,20180628,3.446
510300.SH,20180627,3.466
510300.SH,20180626,3.55
510300.SH,20180625,3.585
510300.SH,20180622,3.636
510300.SH,20180621,3.62
510300.SH,20180620,3.65
510300.SH,20180619,3.65
510300.SH,20180615,3.78
510300.SH,20180614,3.786
510300.SH,20180613,3.796
510300.SH,20180612,3.835
510300.SH,20180611,3.797
510300.SH,20180608,3.787
510300.SH,20180607,3.838
510300.SH,20180606,3.839
510300.SH,20180605,3.846
510300.SH,20180604,3.814
510300.SH,20180601,3.777
510300.SH,20180531,3.803
510300.SH,20180530,3.727
510300.SH,20180529,3.799
510300.SH,20180528,3.835
510300.SH,20180525,3.811
510300.SH,20180524,3.82
510300.SH,20180523,3.851
510300.SH,20180522,3.902
510300.SH,20180521,3.918
510300.SH,20180518,3.899
510300.SH,20180517,3.857
510300.SH,20180516,3.89
510300.SH,20180515,3.922
510300.SH,20180514,3.907
510300.SH,20180511,3.873
510300.SH,20180510,3.896
510300.SH,20180509,3.87
510300.SH,20180508,3.881
510300.SH,20180507,3.831
510300.SH,20180504,3.77
510300.SH,20180503,3.788
510300.SH,20180502,3.766
510300.SH,20180427,3.754
510300.SH,20180426,3.746
510300.SH,20180425,3.822
510300.SH,20180424,3.845
510300.SH,20180423,3.766
510300.SH,20180420,3.75
510300.SH,20180419,3.809
510300.SH,20180418,3.756
510300.SH,20180417,3.748
510300.SH,20180416,3.804
510300.SH,20180413,3.865
510300.SH,20180412,3.892
510300.SH,20180411,3.933
510300.SH,20180410,3.928
510300.SH,20180409,3.853
510300.SH,20180404,3.848
510300.SH,20180403,3.858
510300.SH,20180402,3.883
510300.SH,20180330,3.896
510300.SH,20180329,3.902
510300.SH,20180328,3.832
510300.SH,20180327,3.911
510300.SH,20180326,3.876
510300.SH,20180323,3.894
510300.SH,20180322,4.013
510300.SH,20180321,4.049
510300.SH,20180320,4.07
510300.SH,20180319,4.072
510300.SH,20180316,4.05
510300.SH,20180315,4.095
510300.SH,20180314,4.065
510300.SH,20180313,4.079
510300.SH,20180312,4.123
510300.SH,20180309,4.111
510300.SH,20180308,4.081
510300.SH,20180307,4.04
510300.SH,20180306,4.073
510300.SH,20180305,4.013
510300.SH,20180302,4.022
510300.SH,20180301,4.049
510300.SH,20180228,4.02
510300.SH,20180227,4.061
510300.SH,20180226,4.12
510300.SH,20180223,4.068
510300.SH,20180222,4.046
510300.SH,20180214,3.964
510300.SH,20180213,3.929
510300.SH,20180212,3.882
510300.SH,20180209,3.827
510300.SH,20180208,4.012
510300.SH,20180207,4.045
510300.SH,20180206,4.143
510300.SH,20180205,4.263
510300.SH,20180202,4.267
